Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
06-28,KT,9회초,김민,7 박병호,1 (0-0),1루수 파울플라이 아웃,1사  4:3,2사  4:3,0.50,0.304,-0.185,19.1%,-0.012
06-01,한화,3회말,조동욱,4 박병호,7 (3-2),2루수 플라이 아웃,2사  3:3,이닝종료 3:3,0.47,0.119,-0.119,50.0%,-0.012
05-31,한화,8회말,장민재,4 박병호,7 (3-2),헛스윙 삼진,"1사 1,2루 6:8","2사 1,2루 6:8",0.49,0.997,-0.483,93.8%,-0.011
03-27,두산,9회말,최지강,4 박병호,5 (2-2),헛스윙 삼진,무사  11:7,1사  11:7,0.44,0.529,-0.258,0.7%,-0.011
06-11,LG,1회말,김유영,4 박병호,3 (0-2),헛스윙 삼진,1사  0:2,2사  0:2,0.45,0.296,-0.177,70.9%,-0.011
04-09,NC,2회초,이재학,6 박병호,9 (2-2),헛스윙 삼진,2사  0:0,이닝종료 0:0,0.42,0.115,-0.115,55.1%,-0.011
06-25,LG,2회초,켈리,6 박병호,1 (0-0),중견수 플라이 아웃,2사  0:0,이닝종료 0:0,0.42,0.119,-0.119,55.1%,-0.011
07-12,두산,3회초,곽빈,6 박병호,5 (2-2),중견수 플라이 아웃,2사  4:3,이닝종료 4:3,0.41,0.116,0.884,43.4%,-0.011
07-02,KIA,4회말,네일,7 박병호,4 (1-2),루킹 삼진,무사  1:4,1사  1:4,0.41,0.580,-0.278,85.3%,-0.010
05-22,삼성,2회초,코너,6 박병호,2 (1-0),유격수 땅볼 아웃,2사  0:2,이닝종료 0:2,0.39,0.116,-0.116,75.0%,-0.010
08-02,SSG,4회말,엘리아스,5 박병호,4 (1-2),유격수 플라이 아웃,2사  3:0,이닝종료 3:0,0.38,0.117,-0.117,16.0%,-0.010
05-25,키움,8회말,오석주,8 박병호,4 (1-2),헛스윙 삼진,1사 2루 2:4,2사 2루 2:4,0.33,0.789,-0.399,93.7%,-0.010
03-27,두산,3회말,최원준,4 박병호,2 (0-1),중견수 플라이 아웃,1사  7:2,2사  7:2,0.38,0.272,-0.168,8.2%,-0.009
