Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05-16,SSG,4회초,김광현,4 김영웅,5 (3-1),4구,무사  0:2,무사 1루 0:2,1.04,0.576,0.418,68.9%,0.044
05-29,키움,2회말,헤이수스,5 김영웅,1 (0-0),우익수 방면 2루타,1사  1:0,1사 2루 1:0,0.71,0.295,0.493,46.1%,0.045
07-26,KT,7회말,엄상백,5 김영웅,3 (0-2),우익수 방면 2루타,2사 1루 4:1,"2사 2,3루 4:1",0.84,0.228,0.405,13.9%,0.046
04-09,롯데,4회초,나균안,6 김영웅,2 (1-0),좌익수 방면 1루타,1사 1루 0:1,"1사 1,2루 0:1",1.51,0.534,0.436,57.5%,0.047
06-28,KT,6회초,성재헌,5 김영웅,4 (1-2),우익수 방면 3루타,무사  3:0,무사 3루 3:0,0.43,0.582,0.781,8.6%,0.048
04-18,두산,1회말,곽빈,5 김영웅,6 (3-2),4구,"1사 1,2루 0:1",1사 만루 0:1,1.64,0.966,0.683,72.9%,0.050
05-31,한화,1회말,김규연,5 김영웅,3 (1-1),우익수 방면 1루타,"1사 1,2루 0:1",1사 만루 0:1,1.64,0.997,0.832,72.9%,0.050
03-23,KT,10회초,강건,9 김영웅,2 (0-1),중견수 방면 1루타,2사 만루 4:2,"2사 1,3루 6:2",0.90,0.937,1.604,1.4%,0.054
03-29,SSG,7회말,노경은,9 김영웅,9 (3-2),중견수 뒤 홈런,1사 2루 6:1,1사  6:3,0.54,0.769,1.506,9.6%,0.054
03-26,LG,7회초,이우찬,9 김영웅,5 (3-1),투수 땅볼실책 출루,무사 1루 3:2,"무사 1,2루 3:2",1.52,0.947,0.664,21.3%,0.055
08-06,한화,7회말,한승혁,5 김영웅,1 (0-0),좌익수 방면 1루타,"2사 1,2루 8:4","2사 1,2루 8:5",1.16,0.501,1.000,11.9%,0.055
05-21,KT,10회말,손동현,4 김영웅,7 (3-2),4구,1사  5:5,1사 1루 5:5,1.80,0.293,0.259,63.5%,0.055
06-23,두산,4회말,정철원,5 김영웅,4 (2-1),우익수 방면 1루타,"2사 1,2루 3:6","2사 1,3루 3:7",0.77,0.500,1.040,91.5%,0.055
08-02,SSG,9회말,조병현,8 김영웅,2 (0-1),2루수 포구실책 출루,1사  3:3,1사 1루 3:3,1.80,0.305,0.276,63.5%,0.055
05-24,롯데,1회초,나균안,4 김영웅,6 (3-2),4구,"1사 1,2루 0:0",1사 만루 0:0,1.93,0.992,0.778,40.3%,0.059
03-26,LG,9회초,유영찬,9 김영웅,1 (0-0),우익수 방면 1루타,1사  3:3,1사 1루 3:3,1.80,0.272,0.262,50.0%,0.060
04-23,LG,6회말,이우찬,5 김영웅,5 (3-1),4구,"1사 1,3루 3:1",1사 만루 3:1,2.91,1.273,0.398,41.7%,0.062
04-25,LG,2회말,최원태,6 김영웅,7 (3-2),4구,무사 1루 1:0,"무사 1,2루 1:0",1.65,0.977,0.681,54.4%,0.063
05-09,KIA,2회말,네일,4 김영웅,4 (2-1),우익수 방면 2루타,무사  0:0,무사 2루 0:0,0.92,0.588,0.681,61.4%,0.063
05-29,키움,6회말,조상우,5 김영웅,5 (2-2),우익수 뒤 홈런,무사  8:4,무사  8:5,0.74,0.564,1.000,15.8%,0.064
05-09,KIA,8회말,최지민,4 김영웅,1 (0-0),중견수 방면 1루타,무사  2:2,무사 1루 2:2,1.81,0.588,0.437,67.1%,0.064
04-28,키움,4회초,하영민,6 김영웅,6 (3-2),4구,무사 1루 2:2,"무사 1,2루 2:2",1.76,0.994,0.661,39.1%,0.066
05-03,롯데,9회말,김원중,5 김영웅,4 (1-2),좌익수 뒤 홈런,1사  8:6,1사  8:7,1.19,0.301,1.000,11.2%,0.067
05-28,키움,4회말,후라도,4 김영웅,3 (0-2),좌익수 포구실책 출루,무사  0:0,무사 2루 0:0,1.07,0.564,0.694,63.4%,0.074
06-12,LG,4회말,손주영,6 김영웅,2 (1-0),우익수 포구실책 출루,2사 1루 4:0,2사 3루 4:1,0.61,0.242,1.172,19.5%,0.077
07-10,NC,1회말,카스타노,6 김영웅,2 (1-0),우익수 방면 1루타,"1사 1,3루 1:2","1사 1,3루 1:3",1.57,1.291,1.000,78.2%,0.078
04-13,NC,8회말,임정호,6 김영웅,5 (1-2),우익수 방면 1루타,1사 1루 4:2,"1사 1,2루 4:2",2.34,0.551,0.443,25.1%,0.079
04-24,LG,4회말,켈리,6 김영웅,3 (0-2),우익수 뒤 홈런,1사  0:2,1사  0:3,0.44,0.275,1.000,85.3%,0.079
04-10,롯데,9회초,김원중,6 김영웅,2 (0-1),중견수 방면 1루타,무사  7:7,무사 1루 7:7,2.32,0.558,0.423,41.8%,0.082
05-12,NC,7회초,김영규,4 김영웅,3 (1-1),우익수 방면 1루타,"2사 1,2루 4:2","2사 1,3루 5:2",1.14,0.500,1.022,10.3%,0.083
06-08,키움,2회초,후라도,7 김영웅,1 (0-0),우익수 방면 1루타,"1사 1,2루 0:3","1사 1,2루 1:3",1.86,0.998,1.000,65.9%,0.085
06-14,NC,2회초,신민혁,5 김영웅,2 (0-1),중견수 방면 3루타,무사  0:2,무사 3루 0:2,0.92,0.569,0.834,61.2%,0.089
04-17,두산,2회말,김호준,6 김영웅,3 (2-0),우익수 뒤 홈런,무사  0:1,무사  0:2,0.77,0.536,1.000,75.0%,0.093
