Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
04-12,NC,5회말,카스타노,1 김현준,1 (0-0),3루수 땅볼 아웃,1사  8:1,2사  8:1,0.13,0.293,-0.175,1.6%,-0.003
07-27,KT,8회말,주권,8 김현준,1 (0-0),중견수 플라이 아웃,2사  1:3,이닝종료 1:3,0.12,0.116,-0.116,92.6%,-0.003
04-18,두산,3회말,곽빈,7 김현준,3 (0-2),헛스윙 삼진,2사  0:5,이닝종료 0:5,0.10,0.108,-0.108,92.4%,-0.003
08-04,SSG,6회말,서진용,8 김현준,7 (3-2),투수 땅볼 아웃,2사  3:7,이닝종료 3:7,0.09,0.118,-0.118,94.3%,-0.002
07-18,KIA,6회초,임기영,8 김현준,1 (0-0),중견수 플라이 아웃,2사  3:9,이닝종료 3:9,0.07,0.117,-0.117,98.7%,-0.002
04-14,NC,6회말,이준호,8 김현준,5 (3-1),3루수 땅볼 아웃,1사  2:7,2사  2:7,0.07,0.295,-0.177,97.1%,-0.002
04-12,NC,7회말,송명기,1 김현준,7 (2-2),우익수 직선타 아웃,2사  8:2,이닝종료 8:2,0.06,0.118,-0.118,0.8%,-0.002
05-04,롯데,9회말,박진,8 김현준,5 (3-1),포수 플라이 아웃,무사  9:2,1사  9:2,0.03,0.585,-0.284,0.0%,-0.001
08-03,SSG,5회말,김택형,9 김현준,3 (1-1),중견수 플라이 아웃,1사  1:8,2사  1:8,0.03,0.305,-0.187,98.7%,-0.001
05-24,롯데,8회초,최이준,9 김현준,6 (2-2),헛스윙 삼진,2사 2루 11:4,이닝종료 11:4,0.02,0.390,-0.390,0.5%,-0.001
03-28,LG,7회초,김유영,1 김현준,1 (0-0),좌익수 플라이 아웃,"1사 1,2루 0:14","2사 1,2루 0:14",0.02,0.966,-0.479,100.0%,0.000
04-18,두산,8회말,박신지,7 김현준,7 (2-2),헛스윙 삼진,1사  0:5,2사  0:5,0.02,0.276,-0.168,99.4%,0.000
04-19,한화,9회초,주현상,7 김현준,5 (0-2),3루수 땅볼 아웃,2사  1:6,이닝종료 1:6,0.02,0.118,-0.118,100.0%,0.000
05-26,롯데,9회초,최준용,1 김현준,2 (0-1),2루수 땅볼 아웃,무사  1:9,1사  1:9,0.01,0.563,-0.268,100.0%,0.000
07-30,LG,9회초,이상영,9 김현준,5 (2-2),헛스윙 삼진,무사  7:1,1사  7:1,0.01,0.586,-0.283,0.3%,0.000
07-31,LG,8회초,임준형,9 김현준,2 (0-1),중견수 플라이 아웃,무사  1:11,1사  1:11,0.01,0.592,-0.287,100.0%,0.000
08-03,SSG,7회말,이건욱,9 김현준,4 (1-2),좌익수 플라이 아웃,무사 1루 2:10,1사 1루 2:10,0.01,1.040,-0.455,99.9%,0.000
03-24,KT,9회초,강건,6 김현준,2 (0-1),2루수 병살타 아웃,1사 만루 11:1,이닝종료 11:1,0.00,1.654,-1.654,0.0%,0.000
03-28,LG,9회초,최동환,1 김현준,7 (3-2),좌익수 희생플라이 아웃,1사 만루 0:18,"2사 1,2루 1:18",0.01,1.649,-0.162,100.0%,0.000
04-07,KIA,9회초,김건국,2 김현준,6 (3-2),낫아웃 폭투 출루,1사 2루 5:3,"1사 1,3루 5:3",0.42,0.784,0.000,6.7%,0.000
07-20,롯데,6회말,진해수,8 김현준,4 (1-2),우익수 방면 1루타,무사 2루 4:16,"무사 1,3루 4:16",0.00,1.276,0.727,100.0%,0.000
07-20,롯데,8회말,이민석,8 김현준,1 (0-0),중견수 방면 1루타,1사  4:17,1사 1루 4:17,0.00,0.302,0.269,100.0%,0.000
08-03,SSG,8회말,장지훈,9 김현준,3 (0-2),1루수 땅볼 아웃,2사 1루 4:12,이닝종료 4:12,0.00,0.238,-0.238,100.0%,0.000
04-17,두산,8회말,박치국,3 김현준,4 (3-0),4구,1사  1:9,1사 1루 1:9,0.00,0.276,0.261,100.0%,0.000
08-01,LG,8회초,김영준,9 김현준,2 (0-1),우익수 방면 1루타,2사 1루 7:0,"2사 1,2루 7:0",0.01,0.236,0.264,0.4%,0.000
08-04,SSG,8회말,한두솔,8 김현준,6 (3-2),4구,2사 1루 3:8,"2사 1,2루 3:8",0.03,0.239,0.262,99.5%,0.001
03-24,KT,8회초,김영현,6 김현준,2 (1-0),좌익수 방면 2루타,무사 2루 9:1,무사 2루 10:1,0.01,1.254,1.000,0.1%,0.001
05-10,NC,8회초,서의태,1 김현준,5 (3-1),4구,무사 1루 0:10,"무사 1,2루 0:10",0.02,0.973,0.693,99.9%,0.001
07-31,LG,9회초,정지헌,9 김현준,1 (0-0),중견수 방면 1루타,1사  5:11,1사 1루 5:11,0.03,0.305,0.276,99.8%,0.001
05-24,롯데,7회초,구승민,9 김현준,3 (1-1),좌익수 방면 1루타,2사  7:4,2사 1루 7:4,0.18,0.117,0.123,11.4%,0.005
04-14,NC,8회말,송명기,8 김현준,1 (0-0),좌익수 방면 2루타,무사 1루 5:9,"무사 2,3루 5:9",0.07,0.980,1.313,99.5%,0.005
04-18,두산,1회말,곽빈,7 김현준,4 (2-1),우익수 희생플라이 아웃,"1사 2,3루 0:3",2사 2루 0:4,0.80,1.590,-0.202,86.0%,0.005
04-02,키움,8회말,김윤하,1 김현준,4 (1-2),3루수 방면 2루타,1사 1루 8:1,"1사 2,3루 8:1",0.09,0.536,1.067,1.2%,0.007
07-20,롯데,5회말,박진,8 김현준,4 (2-1),중견수 방면 1루타,"1사 1,2루 4:9",1사 만루 4:9,0.27,1.106,0.830,97.5%,0.008
08-07,한화,8회말,이민우,1 김현준,1 (0-0),우익수 방면 2루타,무사  6:9,무사 2루 6:9,0.11,0.597,0.690,98.1%,0.008
05-29,키움,9회말,전준표,9 김현준,2 (1-0),사구,무사 1루 11:5,"무사 1,2루 11:5",0.19,0.986,0.684,1.6%,0.009
07-19,롯데,9회말,구승민,7 김현준,5 (3-1),4구,무사  10:5,무사 1루 10:5,0.20,0.585,0.436,1.7%,0.009
07-23,한화,2회초,바리아,8 김현준,2 (0-1),좌익수 방면 1루타,2사  1:0,2사 1루 1:0,0.39,0.115,0.112,41.9%,0.011
07-31,LG,5회초,손주영,9 김현준,3 (1-1),1루수 포구실책 출루,2사  1:4,2사 1루 1:4,0.34,0.116,0.120,86.6%,0.012
08-04,SSG,4회말,김택형,8 김현준,2 (1-0),사구,"2사 1,2루 2:5",2사 만루 2:5,0.77,0.501,0.324,87.3%,0.012
