Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05-16,SSG,2회초,김광현,6 류지혁,5 (3-1),4구,1사  0:0,1사 1루 0:0,0.65,0.302,0.260,49.8%,0.026
06-08,키움,5회초,후라도,6 류지혁,3 (0-2),3루수 방면 내야 안타,"2사 1,2루 2:6",2사 만루 2:6,1.16,0.499,0.363,87.5%,0.029
05-11,NC,4회초,김시훈,6 류지혁,5 (2-2),중견수 방면 1루타,1사  0:0,1사 1루 0:0,0.78,0.285,0.261,49.7%,0.030
08-03,SSG,3회말,송영진,7 류지혁,2 (1-0),투수 방면 번트 내야 안타,"무사 1,2루 0:3",무사 만루 0:3,0.83,1.679,0.960,91.7%,0.032
08-04,SSG,3회말,김광현,6 류지혁,5 (3-1),4구,무사  2:3,무사 1루 2:3,0.80,0.594,0.447,70.3%,0.032
06-07,키움,5회초,조영건,5 류지혁,1 (0-0),우익수 방면 2루타,무사  4:1,무사 2루 4:1,0.47,0.563,0.715,12.6%,0.033
08-08,한화,4회말,문동주,8 류지혁,2 (0-1),중견수 방면 1루타,1사  3:2,1사 1루 3:2,0.85,0.307,0.276,42.8%,0.034
05-11,NC,8회초,김재열,6 류지혁,5 (3-1),우익수 방면 1루타,무사  3:2,무사 1루 3:2,0.90,0.554,0.425,21.8%,0.034
06-08,키움,2회초,후라도,6 류지혁,2 (0-1),2루수 방면 내야 안타,1사 1루 0:3,"1사 1,2루 0:3",1.06,0.550,0.448,74.5%,0.035
03-23,KT,4회초,쿠에바스,7 류지혁,3 (1-1),1루수 방면 내야 안타,"2사 1,2루 1:1",2사 만루 1:1,2.03,0.491,0.447,47.2%,0.036
07-02,KIA,3회말,네일,6 류지혁,5 (2-2),헛스윙 삼진,2사 2루 0:4,이닝종료 0:4,0.91,0.548,0.452,88.0%,0.037
05-02,두산,6회초,김택연,5 류지혁,3 (1-1),중견수 방면 1루타,무사  2:1,무사 1루 2:1,0.97,0.584,0.438,30.0%,0.038
07-13,두산,4회초,시라카와,1 류지혁,4 (3-0),4구,"2사 1,2루 3:5",2사 만루 3:5,1.93,0.475,0.329,70.0%,0.039
03-27,LG,2회초,최원태,7 류지혁,7 (2-2),유격수 방면 내야 안타,무사  0:1,무사 1루 0:1,0.97,0.535,0.419,56.6%,0.040
07-11,NC,3회말,신민혁,8 류지혁,5 (3-1),4구,무사  0:0,무사 1루 0:0,0.99,0.579,0.428,59.5%,0.040
03-26,LG,2회초,켈리,6 류지혁,3 (1-1),우익수 방면 1루타,1사 1루 0:1,"1사 1,2루 0:1",1.28,0.534,0.437,56.3%,0.040
04-20,한화,3회초,황준서,8 류지혁,5 (3-1),좌익수 방면 1루타,무사  0:0,무사 1루 0:0,0.99,0.563,0.412,46.0%,0.040
04-25,LG,2회말,최원태,5 류지혁,5 (3-1),4구,무사  1:0,무사 1루 1:0,0.99,0.569,0.409,48.1%,0.041
05-16,SSG,6회초,김광현,6 류지혁,3 (1-1),우익수 방면 1루타,1사  2:3,1사 1루 2:3,1.04,0.302,0.260,65.8%,0.041
07-12,두산,3회초,곽빈,2 류지혁,2 (0-1),중견수 방면 1루타,무사  2:3,무사 1루 2:3,1.03,0.580,0.427,57.1%,0.043
04-28,키움,4회초,하영민,5 류지혁,2 (1-0),중견수 방면 1루타,무사  2:2,무사 1루 2:2,1.08,0.577,0.417,45.7%,0.043
05-21,KT,8회말,박영현,5 류지혁,2 (1-0),우익수 방면 1루타,1사  5:5,1사 1루 5:5,1.39,0.293,0.259,60.7%,0.047
05-30,키움,4회말,이종민,7 류지혁,2 (0-1),사구,무사 2루 0:1,"무사 1,2루 0:1",1.33,0.987,0.690,76.9%,0.048
05-31,한화,4회말,한승혁,7 류지혁,3 (1-1),중견수 방면 1루타,무사  5:4,무사 1루 5:4,1.19,0.569,0.421,47.4%,0.049
07-11,NC,4회말,신민혁,8 류지혁,2 (0-1),우중간 홈런,무사  2:5,무사  2:6,0.41,0.579,1.000,91.5%,0.051
06-30,KT,5회초,고영표,7 류지혁,1 (0-0),좌익수 방면 1루타,무사  0:1,무사 1루 0:1,1.27,0.582,0.423,58.9%,0.052
05-25,롯데,6회초,최준용,5 류지혁,4 (1-2),사구,무사  3:5,무사 1루 3:5,1.23,0.563,0.418,73.0%,0.053
